$ /home/sdinh/sandbox/OptiUNO/external/uno/bin/uno_ampl /home/sdinh/sandbox/OptiUNO/problems/HS_model/hs076.nl constraint_relaxation_strategy=feasibility_restoration inequality_handling_method=interior_point hessian_model=exact inertia_correction_strategy=none globalization_mechanism=TR globalization_strategy=fletcher_filter_method time_limit=20.0

Automatically picked the filtersqp preset
Original model /home/sdinh/sandbox/OptiUNO/problems/HS_model/hs076.nl
4 variables, 3 constraints (0 equality, 3 inequality)
Problem type: NLP
Reformulated model /home/sdinh/sandbox/OptiUNO/problems/HS_model/hs076.nl -> no fixed bounds -> equality constrained -> bounds relaxed
7 variables, 3 constraints (3 equality, 0 inequality)

Non-default options:
QP_solver = BQPD

──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  Iterations
 Major  Minor  Penalty   Barrier   Barrier   Radius    Phase ||Step||  Objective  Infeas    Statio    Compl     Status        
──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
 0      -      -         -         -         1.00e+01  OPT   -         -1.250e+00 9.85e-01  4.42e+00  3.08e+00  initial point 
 1      1      -         1.00e-01  -         1.00e+01  OPT   9.93e-01  -3.351e+00 4.44e-16  1.60e+00  2.65e-11  ✔ (f-type)    
 2      1      -         1.00e-01  -         1.00e+01  OPT   1.00e+01  -4.548e-01 1.28e+01  -         -         ✘ (current)   
 -      2      -         1.00e-01  -         5.00e+00  OPT   5.00e+00  -3.758e+00 6.77e+00  -         -         ✘ (current)   
 -      3      -         1.00e-01  -         2.50e+00  OPT   2.50e+00  -4.276e+00 1.36e+00  -         -         ✘ (current)   
 -      4      -         1.00e-01  -         1.25e+00  OPT   1.25e+00  -4.145e+00 0.00e+00  1.24e+00  2.65e-11  ✔ (f-type)    
 3      1      -         1.00e-01  -         2.50e+00  OPT   2.50e+00  -4.898e+00 3.92e+00  -         -         ✘ (current)   
 -      2      -         1.00e-01  -         1.25e+00  OPT   1.25e+00  -5.015e+00 2.41e+00  -         -         ✘ (current)   
 -      3      -         1.00e-01  -         6.25e-01  OPT   6.25e-01  -4.796e+00 3.68e-01  -         -         ✘ (current)   
 -      4      -         1.00e-01  -         3.12e-01  OPT   3.12e-01  -4.472e+00 5.58e-02  -         -         ✘ (current)   
 -      5      -         1.00e-01  -         1.56e-01  OPT   1.56e-01  -4.299e+00 0.00e+00  1.12e+00  2.65e-11  ✔ (f-type)    
 4      1      -         1.00e-01  -         3.12e-01  OPT   3.12e-01  -4.253e+00 8.88e-16  1.12e+00  2.65e-11  ✔ (f-type)    
 5      1      -         1.00e-01  -         6.25e-01  OPT   6.25e-01  -4.786e+00 8.14e-01  -         -         ✘ (current)   
 -      2      -         1.00e-01  -         3.12e-01  OPT   3.12e-01  -4.585e+00 8.88e-16  1.22e+00  2.65e-11  ✔ (f-type)    
 6      1      -         1.00e-01  -         6.25e-01  OPT   6.25e-01  -3.637e+00 1.33e-15  -         -         ✘ (current)   
 -      2      -         1.00e-01  -         3.12e-01  OPT   3.12e-01  -4.045e+00 1.33e-15  -         -         ✘ (current)   
 -      3      -         1.00e-01  -         1.56e-01  OPT   1.56e-01  -4.334e+00 1.33e-15  4.28e+00  2.65e-11  ✔ (f-type)    
 7      1      -         1.00e-01  -         3.12e-01  OPT   3.12e-01  -4.720e+00 3.42e-01  -         -         ✘ (current)   
