timestamp,generation,config_json,valid,reliability,cum_cpu_time,combined_score,n_solved,status_counts_json
1784064820.531,0,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""fletcher_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""none""}",1,0.966942,4.8769,1.058814,117,"{""solved"": 117, ""unsolved"": 4}"
1784064822.587,0,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""waechter_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""primal_dual""}",1,0.917355,11.6142,0.997998,111,"{""solved"": 111, ""unsolved"": 10}"
1784064825.512,0,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""merit_function"", ""hessian_model"": ""zero"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""none""}",1,0.644628,28.5706,0.697010,78,"{""unsolved"": 43, ""solved"": 78}"
1784064827.874,0,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""merit_function"", ""hessian_model"": ""LBFGS"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""none""}",1,0.256198,15.0202,0.331165,31,"{""solved"": 31, ""unsolved"": 90}"
1784064835.373,0,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""waechter_filter_method"", ""hessian_model"": ""LSR1"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""primal""}",1,0.322314,67.6967,0.322314,39,"{""unsolved"": 82, ""solved"": 39}"
1784064841.595,0,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""funnel_method"", ""hessian_model"": ""identity"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""none""}",1,0.586777,70.6322,0.586777,71,"{""unsolved"": 50, ""solved"": 71}"
1784064842.739,0,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""waechter_filter_method"", ""hessian_model"": ""LBFGS"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""primal_dual""}",1,0.942149,8.0241,1.028775,114,"{""solved"": 114, ""unsolved"": 7}"
1784064904.266,0,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""funnel_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""none""}",1,0.280992,272.7678,0.280992,34,"{""solved"": 34, ""unsolved"": 76, ""timeout"": 11}"
1784064904.988,0,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""funnel_method"", ""hessian_model"": ""LSR1"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""primal""}",1,0.000000,2.2712,0.096215,0,"{""unsolved"": 121}"
1784064907.938,0,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""funnel_method"", ""hessian_model"": ""zero"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""none""}",1,0.512397,48.8705,0.530946,62,"{""unsolved"": 59, ""solved"": 62}"
1784064914.668,0,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""merit_function"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""primal""}",1,0.727273,61.7271,0.727273,88,"{""solved"": 88, ""unsolved"": 33}"
1784064920.023,0,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""waechter_filter_method"", ""hessian_model"": ""LBFGS"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""primal""}",1,0.876033,26.8723,0.931246,106,"{""solved"": 106, ""unsolved"": 15}"
1784064925.906,0,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""funnel_method"", ""hessian_model"": ""LSR1"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""none""}",1,0.694215,30.7449,0.742973,84,"{""unsolved"": 37, ""solved"": 84}"
1784064926.669,0,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""fletcher_filter_method"", ""hessian_model"": ""zero"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""primal_dual""}",1,0.000000,2.8722,0.095213,0,"{""unsolved"": 121}"
1784064931.981,0,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""merit_function"", ""hessian_model"": ""LBFGS"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""primal_dual""}",1,0.644628,43.0715,0.672842,78,"{""solved"": 78, ""unsolved"": 43}"
1784064933.306,0,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""fletcher_filter_method"", ""hessian_model"": ""LSR1"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""primal""}",1,0.057851,14.7207,0.133317,7,"{""unsolved"": 114, ""solved"": 7}"
1784064934.406,0,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""merit_function"", ""hessian_model"": ""LBFGS"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""primal""}",1,0.818182,12.5386,0.897284,99,"{""solved"": 99, ""unsolved"": 22}"
1784064935.153,0,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""merit_function"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""primal_dual""}",1,0.000000,2.5922,0.095680,0,"{""unsolved"": 121}"
1784064941.426,0,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""funnel_method"", ""hessian_model"": ""identity"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""primal_dual""}",1,0.586777,87.7367,0.586777,71,"{""unsolved"": 50, ""solved"": 71}"
1784064942.221,0,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""waechter_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""primal_dual""}",1,0.157025,3.4886,0.251210,19,"{""unsolved"": 102, ""solved"": 19}"
1784064946.656,0,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""funnel_method"", ""hessian_model"": ""LBFGS"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""none""}",1,0.925620,14.0410,1.002218,112,"{""solved"": 112, ""unsolved"": 9}"
1784064952.227,0,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""funnel_method"", ""hessian_model"": ""LSR1"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""primal_dual""}",1,0.388430,86.2399,0.388430,47,"{""unsolved"": 74, ""solved"": 47}"
1784064954.856,0,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""fletcher_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""none""}",1,0.743802,35.1762,0.785175,90,"{""solved"": 90, ""unsolved"": 31}"
