preset,config_hash,label,options_json,n_problems,n_solved,reliability,cum_cpu_time,combined_score,status_counts_json
filtersqp,478ce0be3325,baseline-filtersqp,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""fletcher_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""none""}",121,117,0.966942,10.5551,1.049350,"{""solved"": 117, ""unsolved"": 4}"
ipopt,bbe3df80208a,baseline-ipopt,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""waechter_filter_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""primal_dual""}",121,112,0.925620,3.1526,1.020366,"{""solved"": 112, ""unsolved"": 9}"
custom,77159ce568fb,ga,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""merit_function"", ""hessian_model"": ""zero"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""none""}",121,78,0.644628,14.8665,0.719851,"{""unsolved"": 43, ""solved"": 78}"
custom,01366e6e43a2,ga,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""merit_function"", ""hessian_model"": ""LBFGS"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""none""}",121,30,0.247934,13.8906,0.324783,"{""solved"": 30, ""unsolved"": 91}"
custom,388d87f2e4e7,ga,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""waechter_filter_method"", ""hessian_model"": ""LSR1"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""primal""}",121,40,0.330579,12.7892,0.409263,"{""unsolved"": 81, ""solved"": 40}"
custom,f447b182882c,ga,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""LS"", ""globalization_strategy"": ""funnel_method"", ""hessian_model"": ""identity"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""none""}",121,73,0.603306,12.8936,0.681816,"{""unsolved"": 48, ""solved"": 73}"
custom,9b22c8c8ad68,ga,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""waechter_filter_method"", ""hessian_model"": ""LBFGS"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""primal_dual""}",121,110,0.909091,11.2354,0.990365,"{""solved"": 110, ""unsolved"": 11}"
custom,d269762ccd48,ga,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""funnel_method"", ""hessian_model"": ""exact"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""none""}",121,34,0.280992,345.4439,0.280992,"{""solved"": 34, ""unsolved"": 76, ""timeout"": 11}"
custom,07088ddbbc8a,ga,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""funnel_method"", ""hessian_model"": ""LSR1"", ""inequality_handling_method"": ""interior_point"", ""inertia_correction_strategy"": ""primal""}",121,0,0.000000,11.0390,0.081602,"{""unsolved"": 121}"
custom,7ffeb29c138a,ga,"{""constraint_relaxation_strategy"": ""feasibility_restoration"", ""globalization_mechanism"": ""TR"", ""globalization_strategy"": ""funnel_method"", ""hessian_model"": ""zero"", ""inequality_handling_method"": ""inequality_constrained"", ""inertia_correction_strategy"": ""none""}",121,62,0.512397,16.9891,0.584081,"{""unsolved"": 59, ""solved"": 62}"
