$ /home/sdinh/sandbox/OptiUNO/external/uno/bin/uno_ampl /home/sdinh/sandbox/OptiUNO/problems/HS_model/hs012.nl constraint_relaxation_strategy=feasibility_restoration inequality_handling_method=interior_point hessian_model=exact inertia_correction_strategy=none globalization_mechanism=TR globalization_strategy=fletcher_filter_method time_limit=20.0

Automatically picked the filtersqp preset
Original model /home/sdinh/sandbox/OptiUNO/problems/HS_model/hs012.nl
2 variables, 1 constraints (0 equality, 1 inequality)
Problem type: NLP
Reformulated model /home/sdinh/sandbox/OptiUNO/problems/HS_model/hs012.nl -> no fixed bounds -> equality constrained -> bounds relaxed
3 variables, 1 constraints (1 equality, 0 inequality)

Non-default options:
QP_solver = BQPD

──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  Iterations
 Major  Minor  Penalty   Barrier   Barrier   Radius    Phase ||Step||  Objective  Infeas    Statio    Compl     Status        
──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
 0      -      -         -         -         1.00e+01  OPT   -         0.000e+00  0.00e+00  9.95e+00  2.50e+01  initial point 
 1      1      -         1.00e-01  -         1.00e+01  OPT   1.00e+01  -9.225e+01 4.72e+02  -         -         ✘ (filter)    
 -      2      -         1.00e-01  -         5.00e+00  OPT   5.00e+00  -5.750e+01 1.25e+02  -         -         ✘ (filter)    
 -      3      -         1.00e-01  -         2.50e+00  OPT   2.50e+00  -3.188e+01 3.12e+01  8.24e+00  1.00e-11  ✔ (f-type)    
 2      1      -         1.00e-01  -         5.00e+00  OPT   5.00e+00  -2.207e+01 8.24e+00  5.04e+00  1.00e-11  ✔ (h-type)    
 3      1      -         1.00e-01  -         1.00e+01  OPT   1.00e+01  -2.502e+01 1.28e+00  1.28e+00  1.00e-11  ✔ (h-type)    
 4      1      -         1.00e-01  -         2.00e+01  OPT   2.00e+01  -3.662e+01 1.55e+01  -         -         ✘ (filter)    
 -      2      -         1.00e-01  -         1.00e+01  OPT   1.00e+01  -3.058e+01 1.17e+00  1.11e+00  1.00e-11  ✔ (f-type)    
 5      1      -         1.00e-01  -         2.00e+01  OPT   2.00e+01  -1.993e+01 4.55e+00  -         -         ✘ (current)   
 -      2      -         1.00e-01  -         1.00e+01  OPT   1.00e+01  -2.505e+01 1.26e+00  -         -         ✘ (current)   
